id,title,original_title,release_date,poster_path,original_language,popularity,vote_count,vote_average,overview,imdb_id
72039,Attack of the Virgin Mummies,Attack of the Virgin Mummies,2004-08-01,/bqtp8HjCPCNa2XUQvhHEOqPTZ2I.jpg,en,2.552,6.0,3.2,"In ancient Egypt, three of the king's virgin daughters -- Ananka, Hera and Josephine -- are beaten and mummified by a maniac who later returns in the 21st century as a berserk mummy himself. This swaddled nut job can only be stopped by the same three virgin girls, who now happen to be go-go dancing mummies at a strip joint in Hollywood. Pamela Christie and Kasumi star. Daryl Carstensen directs this comic horror tale.",tt0381893
505063,Await Further Instructions,Await Further Instructions,2018-08-26,/afvi5tVi5S3Ux9faZaI32SmPRkj.jpg,en,11.482,212.0,5.4,"A dysfunctional family awake on Christmas morning to discover they’re sealed inside their house by a mysterious black substance. On television, a single line of text reads: “Stay Indoors and Await Further Instructions.”",tt4971408
244805,Puaka Tebing Biru,Puaka Tebing Biru,2007-02-18,/gzVML1GhmrGHiVMN24EJrzG2R70.jpg,en,0.6,0.0,0.0,"Ratna, Ayu and Atillia are three friends who have a very solid bond, though all three possess different personalities. Ayu is a polite girl in love with Mohsin. Without the knowledge of their families, Ayu is pregnant with Mohsin's child. At the same time, Ratna receives an offer to work in Kuala Lumpur.  Ratna life is never at rest as she has being haunted by an apparition ever since her arrival in Kuala Lumpur. The gost has brought along a little girl, and Ratna is disturbed by their shocking appearances.  In their journey back to yhe village, Atillia and Ratna deside ti spend the night at Tebing Biru, their old home.",tt0997258
360118,Ghost Coins,เกมปลุกผี,2014-12-24,/p65BNBMgnosUSdbwaxTzsfFR47C.jpg,th,0.707,3.0,6.3,"There is a belief in Thailand which requires relatives to put coins inside the mouth of the deceased so that they can move on to the afterlife. However, there is a group of reckless and irresponsible teenagers who keep stealing the gold coins from the deceased. Consumed by their own greed, the teenagers then set out to steal from a millionaire's corpse who had a mouthful of gold coins and their action somehow angers the dead man. Later, the group of teenagers then encounter various horrifying situations as the spirits of the man returns to haunt them.",tt4222732
826047,Why?,Why?,2021-05-05,/l31YVOzDG13jwSJKYehZxgUsILH.jpg,en,0.895,5.0,4.8,Writer Blake Sinclair finds herself in a fight for her life against a bloodthirsty maniac who has been leaving multiple victims in his wake as he returns to the mountain town of Northdale.,tt10313806
495031,Demon,Demon,2018-12-19,/qeIqGNQEBSvdjCg9l73u7WKElaV.jpg,en,1.9,1.0,4.0,"When the embodiment of evil rises to destroy Earth and all that we know, can the human race defend itself or will it succumb to the forces of evil.",tt7275352
46921,The Cat with Hands,The Cat with Hands,2001-01-01,/hEVY60G2rmeXm3n2SqEpKtvbVJ0.jpg,en,2.799,63.0,6.6,"The story of a cat who, legend has it, longs to become human.",tt0371596
1722854,Love in the Dark!,Love in the Dark!,2024-10-09,/raVoSXRiJcWYTR3cd1u5q3iRRyf.jpg,en,1.2908,0.0,0.0,A first-time contestant on a reality dating show finds the authentic connection she craves in a man who isn't all that he seems.,tt33332660
20669,Death Valley: The Revenge of Bloody Bill,Death Valley: The Revenge of Bloody Bill,2004-10-26,/21vclriIvQ2MOsyb3qSnIIu5WvD.jpg,en,3.389,11.0,4.1,"When a group of college kids stumble upon a small abandoned town of Sunset Valley, they must fight a band of Zombies led by a Confederate soldier seeking retribution for his grisly execution.",tt0403885
710295,Wolf Man,Wolf Man,2025-01-15,/wpSDzTBfF0Eeo5lzu2w9FTujGqd.jpg,en,6.6885,1012.0,6.156,"With his marriage fraying, Blake persuades his wife Charlotte to take a break from the city and visit his remote childhood home in rural Oregon. As they arrive at the farmhouse in the dead of night, they're attacked by an unseen animal and barricade themselves inside the home as the creature prowls the perimeter. But as the night stretches on, Blake begins to behave strangely, transforming into something unrecognizable.",tt4216984
